MetalElem   OtherElem   Bonds_mean      Bonds_stdev     NumSamples
Ag          C           2.26211514      0.23728243           772  
Ag          Cl          2.87432710      0.45206651           365  
Ag          N           2.37280754      0.31191921          6225  
Ag          O           2.71459286      0.28044972          5659  
Ag          P           2.44156978      0.07918394           634  
Ag          S           2.72404231      0.35084162          1258  
Ag          Se          2.78235305      0.37624964           131  
Al          B           2.29499320      0.05634294            25  
Al          Br          2.31697466      0.09867145           191  
Al          C           2.00778772      0.07261469          2789  
Al          Cl          2.14779536      0.05279244           866  
Al          F           1.80119351      0.09710465           134  
Al          I           2.53203844      0.03768307            32  
Al          N           1.96826646      0.10359149          1601  
Al          O           1.82169544      0.08559619          2452  
Al          P           2.51625737      0.12848257            95  
Al          S           2.40353187      0.20075063            80  
Al          Se          2.39290405      0.09124653            42  
Am          Br          2.88810000      0.02133656             3  
Am          N           2.57136636      0.02455825            11  
Am          O           2.42635028      0.18813582            71  
Am          S           2.87451000      0.04685478             6  
Au          B           2.23664250      0.20167223            12  
Au          Br          2.78301643      0.62577238           322  
Au          C           2.02581673      0.04563676          1854  
Au          Cl          2.62521183      0.59438363          1842  
Au          F           3.19355331      0.22516495           489  
Au          I           3.13087668      0.67451616           196  
Au          N           2.54332636      0.65155000          1101  
Au          O           3.01873595      0.48459243           452  
Au          P           2.27661426      0.06681097          1086  
Au          S           2.69992610      0.61657044           670  
Au          Se          2.93685310      0.72480158            42  
Ba          B           3.55021000      0.19223062             5  
Ba          Br          3.41204520      0.23701524            25  
Ba          C           3.07913102      0.16666216            59  
Ba          Cl          3.29204168      0.20954393           185  
Ba          F           2.83391620      0.21672765           445  
Ba          I           3.76644161      0.36206632            31  
Ba          N           2.91387226      0.12725317           274  
Ba          O           2.87523204      0.17349297          5197  
Ba          P           3.35049939      0.15555078            33  
Ba          S           3.33260342      0.20678789           650  
Ba          Se          3.48752228      0.25205349           276  
Be          B           1.94884500      0.00729027             2  
Be          Br          2.14978125      0.09754849             8  
Be          C           1.82312933      0.08468369            60  
Be          Cl          1.96062348      0.07088808            23  
Be          I           2.31181700      0.06968867            10  
Be          N           1.72573205      0.06288565           171  
Be          O           1.62986779      0.02053072            86  
Be          P           2.30854000      0.01926861             4  
Bi          Br          2.91393406      0.25313482           525  
Bi          C           2.25365791      0.07082483           627  
Bi          Cl          2.77772974      0.25562960           895  
Bi          F           2.30002435      0.35606306            62  
Bi          I           3.11482058      0.20468404           847  
Bi          N           2.50981021      0.24581946           672  
Bi          O           2.50242084      0.28745248          2823  
Bi          P           2.71936818      0.16954724            22  
Bi          S           2.87760822      0.25541693           472  
Bi          Se          3.02813767      0.26390680           150  
Bk          N           2.54517000      0.02446725             3  
Bk          O           2.45378353      0.13947564            17  
Ca          B           3.26252500      0.10666706             2  
Ca          Br          2.89044286      0.03241853             7  
Ca          C           2.74025586      0.20212840           157  
Ca          Cl          2.81879800      0.18565396            50  
Ca          F           2.42197437      0.16739210            71  
Ca          I           3.13955607      0.06828769            28  
Ca          N           2.49984701      0.14813462           545  
Ca          O           2.44371571      0.13856465          4066  
Ca          P           3.11269357      0.28200574            14  
Ca          S           2.94249579      0.18999378            19  
Ca          Se          3.01133429      0.04780639            14  
Cd          Br          2.69365920      0.17462746           415  
Cd          C           2.29158631      0.14422291           122  
Cd          Cl          2.58905096      0.11685289          1751  
Cd          F           2.34743200      0.14535384            60  
Cd          I           2.82820227      0.20074998           357  
Cd          N           2.33675244      0.07910438          8292  
Cd          O           2.38150216      0.15481867         16204  
Cd          P           2.86568744      0.28646579            39  
Cd          S           2.65238249      0.17060474          1039  
Cd          Se          2.73653389      0.25885668           144  
Ce          B           3.04468000      0.00197503             5  
Ce          Br          2.99216311      0.14442826            74  
Ce          C           2.99610319      0.34331365           229  
Ce          Cl          2.82261932      0.16116193            74  
Ce          F           2.44175709      0.26255808           117  
