643  942  SP-NON_SP2  N  3:3:3:  3:3:3:  C[6a]-3_2_2:C[6a]-3_2_2:Ga[6]-2_2_2  C[6a]-2_2_0:C[6]-3_2_0:C[6]-3_2_0  451_16720_1  502_12_1  2.0038  0.0000  1  2.0038  0.0000  1  
643  942  SP-NON_SP2  N  3:3:3:  3:4:4:  C[6a]-2_2_2:C[6a]-2_2_2:Ga[6]-3_3_2  C[6a]-2_2_0:C[6]-3_0_0_0:C[6]-3_0_0_0  451_14734_1  502_11_1  1.9666  0.0029  2  1.9666  0.0029  2  
643  942  SP-NON_SP2  N  3:3:3:  4:3:4:  C[6a]-2_2_2:C[6a]-2_2_2:Ga[6]-3_3_2  C[6a]-2_2_0:C[6]-3_0_0_0:C[6]-3_2_0_0  451_14734_2  502_6_1  1.9952  0.0000  1  1.9952  0.0000  1  
643  943  SP-NON_SP2  N  4:3:3:  3:3:3:4:  C[6a]-2_2_0:C[6a]-2_2_0:Ga[6]-3_2_2_2  C-2_2_0_0:C[6a]-2_2_0:N[6]-2_2_0:N[6]-2_2_0  451_27329_1  502_39_1  2.0338  0.0000  1  2.0338  0.0000  1  
643  943  SP-NON_SP2  Y  4:3:3:  3:3:2:1:  C[6,6,6a]-2_2_2:C[6a]-2_2_0:Ga[6,6]-2_2_0_0  Cl-0:Cl[6,6]-0_0:C[6,6a]-2_2_0:N[6,6]-2_2_0  448_5246_1  501_1_1  1.9645  0.0050  2  1.9645  0.0050  2  
643  944  SP-NON_SP2  N  2:2:1:  3:  I-2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_0  451_28351_2  586_219_0  2.1158  0.0000  1  2.1080  0.0111  2  
643  944  SP-NON_SP2  N  2:2:1:  3:  I-2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_0  451_28351_1  586_219_0  2.1002  0.0000  1  2.1080  0.0111  2  
643  944  SP-NON_SP2  N  2:2:1:  3:  I-2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_0  451_28783_1  586_219_0  2.1050  0.0000  1  2.1050  0.0000  1  
643  944  SP-NON_SP2  N  2:2:1:  3:  I-2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_0  451_28944_1  586_219_0  2.0976  0.0000  1  2.0976  0.0000  1  
643  944  SP-NON_SP2  N  2:3:1:  3:  C[6a]-2_2_2:I-2:N[6a]-2_2  C[6a]-2_2_0  451_28522_1  586_216_0  2.1219  0.0030  3  2.1219  0.0030  3  
643  944  SP-NON_SP2  N  2:3:1:  3:  C[6a]-3_2_2:I-2:N[6a]-2_2  C[6a]-2_2_0  451_28653_1  586_216_0  2.1245  0.0000  1  2.1245  0.0000  1  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[5a,6a]-2_2_2:I-2:N[6a]-2_2  C[6a]-2_2_0  451_4184_1  586_182_0  2.1084  0.0000  1  2.1084  0.0000  1  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[6a,6a]-2_2_2:I-2:N[6a]-2_2  C[6a]-2_2_0  451_9346_1  586_188_0  2.1144  0.0000  1  2.1144  0.0000  1  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[6a]-2_2_0:I-2:N[6a]-2_2  C[6a]-2_2_0  451_15387_1  586_216_0  2.0996  0.0037  4  2.0996  0.0037  4  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[6a]-2_2_0:I-2:N[6a]-2_2  C[6a]-2_2_0  451_18386_1  586_216_0  2.0976  0.0004  2  2.0976  0.0004  2  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[6a]-2_2_0:I-2:N[6a]-2_2  C[6a]-2_2_0  451_21410_1  586_216_0  2.1117  0.0000  1  2.1186  0.0098  2  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[6a]-2_2_0:I-2:N[6a]-2_2  C[6a]-2_2_0  451_21410_2  586_216_0  2.1255  0.0000  1  2.1186  0.0098  2  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[6a]-2_2_0:I-2:N[6a]-2_2  C[6a]-2_2_0  451_21634_1  586_216_0  2.0922  0.0000  1  2.0922  0.0000  1  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[6a]-2_2_0:I-2:N[6a]-2_2  C[6a]-2_2_0  451_24378_1  586_216_0  2.1017  0.0033  6  2.1017  0.0033  6  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[6a]-2_2_2:I-2:N[6a]-2_2  C[6a]-2_2_0  451_24599_1  586_216_0  2.1000  0.0035  2  2.1000  0.0035  2  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[6a]-2_2_2:I-2:N[6a]-2_2  C[6a]-2_2_0  451_24995_1  586_216_0  2.1120  0.0000  1  2.1120  0.0000  1  
643  944  SP-NON_SP2  N  3:2:1:  3:  C[6a]-2_2_2:I-2:N[6a]-2_2  C[6a]-2_2_0  451_25491_2  586_216_0  2.1128  0.0022  3  2.1071  0.0116  4  
