542  790  SP-NON_SP2  N  3:3:1:  3:  Cl-2:C[5,6a]-2_2_2:C[5]-2_2_0  N[5]-2_2_0  646_2204_1  458_771_0  1.6955  0.0000  1  1.6955  0.0000  1  
542  811  SP2_SP3  N  4:3:3:  3:3:2:2:  B[6a]-2_2_2_2:C[5]-2_2_0:N[5]-2_2_0  C[6a]-3_2_2:N[5]-3_2_2:O[6a]-3_2:O[6a]-3_2  646_203_1  227_89_1  1.6136  0.0000  1  1.6136  0.0000  1  
542  813  SP2_SP2  N  3:3:3:  3:3:3:  C[5]-2_2_2:C[5]-2_2_2:N[5a]-2_2_2  C[5a]-2_2_0:C[5a]-2_2_0:N[5]-2_2_2  646_3402_1  655_2738_1  1.3805  0.0081  6  1.3805  0.0081  6  
542  813  SP2_SP2  N  3:3:3:  3:3:3:  C[5]-2_2_2:C[5]-2_2_2:N[5a]-2_2_2  C[5a]-2_2_0:C[5a]-2_2_0:N[5]-2_2_2  646_5415_1  655_2738_2  1.3832  0.0049  2  1.3832  0.0049  2  
542  813  SP2_SP2  N  3:3:3:  3:3:3:  C[5]-2_2_2:C[5]-2_2_2:N[5a]-2_2_2  C[5a]-2_2_0:C[5a]-2_2_0:N[5]-2_2_2  646_5950_1  655_2738_3  1.3771  0.0088  2  1.3771  0.0088  2  
542  813  SP2_SP2  N  3:3:3:  3:3:3:  C[5]-2_2_2:C[5]-2_2_2:N[5a]-2_2_2  C[5a]-2_2_0:C[5a]-2_2_2:N[5]-2_2_2  646_3654_1  655_2309_1  1.3842  0.0000  1  1.3842  0.0000  1  
542  813  SP2_SP2  N  3:3:3:  3:3:3:  C[5]-3_3_2:C[5]-3_3_2:N[5a]-2_2_2  C[5a]-2_2_0:C[5a]-2_2_0:N[5]-2_2_2  646_8464_1  655_2738_4  1.3819  0.0000  1  1.3819  0.0000  1  
542  813  SP2_SP2  N  3:4:3:  3:3:3:  B[5]-2_2_2_2:C[5]-2_2_0:N[5a]-2_2_2  C[5a,6a]-2_2_2:C[5a]-2_2_0:N[5]-3_2_2  646_8462_1  655_1327_1  1.3888  0.0000  1  1.3888  0.0000  1  
542  813  SP2_SP2  N  4:3:3:  3:3:3:  B[5]-2_2_2_2:C[5]-2_2_0:N[5a]-2_2_2  C[5a,6a]-2_2_2:C[5a,6a]-2_2_2:N[5]-3_2_2  646_129_1  655_1475_1  1.3988  0.0000  1  1.3988  0.0000  1  
542  813  SP2_SP2  Y  3:3:3:  3:3:3:  C[5,6]-2_2_2:C[5]-6_2_2:N[5a,6]-2_2_2  C[5a,6]-2_2_2:C[5a]-6_2_2:N[5,6]-2_2_2  643_1205_1  652_233_1  1.3548  0.0000  1  1.3548  0.0000  1  
542  813  SP2_SP2  Y  3:3:3:  3:3:3:  C[5,6]-2_2_2:C[5]-8_2_2:N[5a,6]-2_2_2  C[5a,6]-2_2_2:C[5a]-8_2_2:N[5,6]-2_2_2  643_1204_1  652_232_1  1.3397  0.0000  1  1.3397  0.0000  1  
542  813  SP2_SP2  Y  3:4:3:  3:3:3:  C[5,6]-2_2_2:C[6]-2_2_2_0:N[5,6a]-2_2_2  C[5,6a]-2_2_2:C[6a]-2_2_0:N[5,6]-3_2_2  643_1203_1  645_109_1  1.3625  0.0000  1  1.3625  0.0000  1  
542  813  SP2_SP3  N  3:3:3:  3:3:3:  C[5]-3_2_2:C[5]-3_2_2:N[5a]-3_2_2  C[5a]-2_2_0:C[5a]-2_2_0:N[5]-2_2_2  646_3402_1  655_2738_1  1.3838  0.0000  1  1.3838  0.0000  1  
542  813  SP2_SP3  N  3:4:3:  3:3:3:  B[5]-2_2_2_2:C[5]-2_2_0:N[5a]-2_2_2  C[5a,6a]-3_2_2:C[5a]-3_2_0:N[5]-3_3_2  646_8462_1  655_1327_1  1.4005  0.0000  1  1.4005  0.0000  1  
542  813  SP2_SP3  N  3:4:3:  3:3:3:  C[5]-3_2_2_0:C[5]-3_2_2:N[5a]-2_2_2  C[5a]-3_3_2:C[5a]-3_3_2:N[5]-3_3_2  646_8463_1  655_2213_1  1.3858  0.0000  1  1.3858  0.0000  1  
542  813  SP2_SP3  N  4:4:3:  3:3:3:  C[5]-3_3_2_0:C[5]-3_3_2_0:N[5a]-3_2_2  C[5a]-2_2_0:C[5a]-2_2_0:N[5]-3_3_2  646_5872_1  655_1815_1  1.3870  0.0000  1  1.3870  0.0000  1  
542  813  SP2_SP3  N  4:4:3:  3:3:3:  C[5]-3_3_2_0:C[5]-3_3_2_0:N[5a]-3_2_2  C[5a]-2_2_0:C[5a]-2_2_0:N[5]-3_3_2  646_5872_2  655_3485_1  1.4021  0.0066  2  1.4021  0.0066  2  
542  813  SP2_SP3  Y  3:4:4:  3:3:3:  C[5,5]-3_3_3_0:C[5]-3_3_3_0:N[5,6a]-3_2_2  C[5,6a]-3_2_2:C[6a]-2_2_2:N[5,5]-3_3_2  636_516_1  645_72_1  1.4182  0.0000  1  1.4182  0.0000  1  
542  818  SP2_SP2  N  3:3:2:  3:3:3:  C[5,6a]-2_2_2:C[5]-2_2_2:Ga[5]-2_2  N[5]-2_2_0:N[5]-3_2_2:N[5]-3_2_2  646_2155_1  417_27757_1  1.3553  0.0000  1  1.3553  0.0000  1  
542  818  SP2_SP2  N  3:3:2:  3:3:3:  C[5,6a]-2_2_2:C[5]-2_2_2:In[5]-2_2  N[5]-2_2_0:N[5]-3_2_2:N[5]-3_2_2  646_2157_1  417_27816_1  1.3466  0.0000  1  1.3466  0.0000  1  
542  818  SP2_SP2  N  3:3:3:  2:2:3:  C[5]-2_2_0:C[5]-2_2_0:C[5]-2_2_2  N[5]-2_2_2:N[5]-2_2:N[5]-2_2  646_4340_1  417_27445_1  1.4294  0.0015  3  1.4294  0.0015  3  
542  818  SP2_SP2  N  3:3:3:  2:2:3:  C[5]-2_2_0:C[5]-2_2_0:C[5]-2_2_2  N[5]-2_2_2:N[5]-2_2:N[5]-2_2  646_6773_1  417_27445_2  1.3964  0.0000  1  1.3964  0.0000  1  
542  818  SP2_SP2  N  3:3:3:  3:2:2:  C[5]-2_2_0:C[5]-2_2_2:C[5]-3_2_0  N[5]-2_2_2:N[5]-2_2:N[5]-2_2  646_6271_1  417_28083_1  1.4084  0.0000  1  1.4084  0.0000  1  
542  818  SP2_SP2  N  3:3:3:  3:2:3:  C[5]-2_2_0:C[5]-3_2_2:C[5]-9_2_2  N[5]-2_2_2:N[5]-9_2_2:S[5]-2_2  646_6756_1  417_27857_1  1.3681  0.0060  3  1.3681  0.0060  3  
542  818  SP2_SP2  N  3:3:3:  3:3:2:  C[5]-2_2_0:C[5]-2_2_2:C[5]-2_2_2  C[5]-2_2_0:N[5]-2_2_2:N[5]-2_2  646_5005_1  417_16830_1  1.3944  0.0000  1  1.3944  0.0000  1  
542  818  SP2_SP2  N  3:3:3:  3:3:2:  C[5]-2_2_2:C[5]-3_2_2:N[5]-6_2_2  N[5]-2_2_2:N[5]-6_2_2:S[5]-2_2  646_6757_1  417_29108_1  1.3853  0.0000  1  1.3853  0.0000  1  
542  818  SP2_SP2  N  3:3:3:  3:3:2:  C[5]-2_2_2:C[5]-3_2_2:N[5]-6_2_2  N[5]-2_2_2:N[5]-6_2_2:S[5]-2_2  646_6758_1  417_27960_1  1.3771  0.0000  1  1.3771  0.0000  1  
542  818  SP2_SP2  N  3:3:3:  3:3:3:  C[5,6a]-2_2_2:C[5]-2_2_2:Ga[5]-5_2_2  N[5]-2_2_0:N[5]-3_2_2:N[5]-3_2_2  646_2444_1  417_27757_2  1.3681  0.0000  1  1.3681  0.0000  1  
542  818  SP2_SP2  N  3:3:3:  3:3:3:  C[5]-2_2_0:C[5]-2_2_0:C[5]-2_2_2  C[5]-2_2_2:C[5]-2_2_2:N[5]-2_2_2  646_3685_1  417_20098_1  1.4388  0.0041  2  1.4388  0.0041  2  
542  818  SP2_SP2  N  3:3:3:  3:3:3:  C[5]-2_2_0:C[5]-2_2_0:C[5]-2_2_2  C[5]-2_2_2:N[5]-2_2_2:N[5]-3_2_2  646_5021_1  417_21944_1  1.4077  0.0168  4  1.4025  0.0132  8  
542  818  SP2_SP2  N  3:3:3:  3:3:3:  C[5]-2_2_0:C[5]-2_2_0:C[5]-2_2_2  C[5]-2_2_2:N[5]-2_2_2:N[5]-3_2_2  646_5021_1  417_21944_2  1.3919  0.0052  2  1.4025  0.0132  8  
